,Open,High,Low,Close,Volume,SMA_7,SMA_21,EMA_21,BB_Width,RSI,MACD,MACD_Signal,MACD_Hist,ATR,Volume_Ratio,Return_1d,Return_5d,Return_21d,Lag_1,Lag_2,Lag_3,Lag_5,Target
2020-10-20,144.76188835657754,145.42024951868663,143.36201287620378,144.60558092370763,8430949,145.82876747825242,154.34759515748897,151.36726325240417,0.19285955713940334,20.50542730594627,-2.5883607322716955,-0.7848546986914564,-1.803506033580239,3.554181275975858,1.5648429574727085,-0.0032876792284266543,-0.015863189189282756,-0.04483028693184088,0.025212101083350147,-0.0254732094605018,-0.01626609897767728,-0.019334889516912646,1
2020-10-21,143.99161432035623,146.068235648357,143.6531134794954,144.9092584977372,4366128,145.12530790489365,154.05462873885293,150.7801719110708,0.20112815204715417,21.975857041988405,-2.743896578207682,-1.1766630745947015,-1.5672335036129805,3.477642728574754,0.8081957606728922,0.0021000404831523767,-0.018328797566416033,-0.040727072225867245,-0.0032876792284266543,0.025212101083350147,-0.0254732094605018,0.004616958824462447,0
2020-10-22,145.00426131586406,142.64575991685348,140.1341357398817,141.28348088693147,4371293,144.31773920069764,153.50124666237477,149.91683636342177,0.21436504596716074,15.661461524921194,-3.1237214910912314,-1.5660747578940075,-1.557646733197224,3.62133691622967,0.8196089596698234,-0.02502102107480142,-0.02706536229531742,-0.07600183947867356,0.0021000404831523767,-0.0032876792284266543,0.025212101083350147,-0.01626609897767728,0
2020-10-23,141.71134595138147,140.10112814194432,139.21634293979037,139.7793981667428,3970193,143.19838730875784,152.667576842662,148.9952510728146,0.2282384285355779,15.548561045204579,-3.505690953324546,-1.9539979969801153,-1.5516929563444306,3.5642349014515724,0.7560696227812089,-0.010645849824385212,-0.01226222715760017,-0.11130688379893017,-0.02502102107480142,0.0021000404831523767,-0.0032876792284266543,-0.0254732094605018,1
2020-10-26,139.42508194942457,140.69023615226354,139.5390874027692,139.91942649783113,7651938,142.4420563135844,151.85657280796664,148.17017611145246,0.23943697709171008,16.55321491117219,-3.7538335317587155,-2.3139651039358355,-1.43986842782288,3.4496293903711313,1.4309059393783334,0.0010017808985076648,-0.03558759340513884,-0.10851245144421084,-0.010645849824385212,-0.02502102107480142,0.0021000404831523767,0.025212101083350147,0
2020-10-27,139.29020213733583,138.45752465469803,135.9585889119253,137.05438581775277,4058108,141.80487095037165,150.9328205242743,147.15964972111612,0.24865566194535565,13.604649863457396,-4.134018756785906,-2.6779758345058498,-1.4560429222800564,3.5920005522357803,0.75188156457424,-0.02047636094422356,-0.05221925085961099,-0.12399107189407566,0.0010017808985076648,-0.010645849824385212,-0.02502102107480142,-0.0032876792284266543,1
2020-10-28,137.01662263445326,138.6072723451035,136.84031874772222,137.88720296849394,6974967,140.77696196559955,149.83331925381276,146.31670001633228,0.24731163463919917,18.497415476876824,-4.318337792781904,-3.0060482261610604,-1.3122895666208434,3.311231629515837,1.2978047356923492,0.006076545057438709,-0.04845829453576922,-0.1434339406083982,-0.02047636094422356,0.0010017808985076648,-0.010645849824385212,0.0021000404831523767,0
2020-10-29,137.85103432971678,137.3964953301765,135.9965314453857,136.40204327771693,4625148,139.60502801617233,148.54379214077667,145.41536758554906,0.24580409640374448,20.954495489442934,-4.532009744546912,-3.311240529838231,-1.2207692147086808,3.025080325120257,0.871173891386645,-0.010770830496259709,-0.034550660689915635,-0.16564545768679773,0.006076545057438709,-0.02047636094422356,0.0010017808985076648,-0.02502102107480142,0
2020-10-30,136.62641903042007,136.69255146948646,134.49155721944734,135.67964014030608,2445144,138.28651110796787,147.27048229221708,144.53030145416335,0.2355392180569613,21.916375554363356,-4.705397310372291,-3.5900718859450427,-1.1153254244272484,2.957927403075733,0.4822724998676048,-0.005296131348560662,-0.029330202305965836,-0.16463272539121987,-0.010770830496259709,0.006076545057438709,-0.02047636094422356,-0.010645849824385212,0
2020-11-02,136.06616208947182,134.5855522023545,133.37309239346942,134.1790916937309,4290330,137.2715983660821,145.84639950609494,143.5892823850331,0.22402192061781273,23.20215810279261,-4.907321378362582,-3.8535217844285508,-1.053799593934031,2.8270347252782324,0.8317545187622843,-0.011059496067526875,-0.04102600294884151,-0.18225778989864339,-0.005296131348560662,-0.010770830496259709,0.006076545057438709,0.0010017808985076648,1
2020-11-03,134.155174868563,139.3617773279889,137.5133047945882,138.67056145373914,3363042,137.11319312136726,144.69633940017695,143.14212593673366,0.2011843146717151,33.80597557405051,-4.6513062213929,-4.013078671821421,-0.6382275495714795,3.047538306461874,0.6697849216627307,0.033473693280471783,0.011792221214543819,-0.1483293926988406,-0.011059496067526875,-0.005296131348560662,-0.010770830496259709,-0.02047636094422356,1
2020-11-04,139.4424725130645,139.51044408005282,137.44271738812176,138.86062852568708,5463286,136.96193626820383,143.61836666454374,142.7528988993658,0.16495820807330275,37.496329444886186,-4.3825561613736,-4.086974169731857,-0.29558199164174326,2.905908463454076,1.065659577781172,0.0013706375019715278,0.007059578671818834,-0.14017151668961358,0.033473693280471783,-0.011059496067526875,-0.005296131348560662,0.006076545057438709,0
2020-11-05,138.95404065837747,136.6025411841567,136.03566374506062,136.42680111844479,3347876,136.87228131115984,142.393555804336,142.17779910110025,0.14197121906749027,39.461616929803796,-4.316204811664136,-4.132820298118313,-0.18338451354582297,2.814756445010287,0.6610896058696664,-0.01752712365688358,0.0001815063772721004,-0.15862702691729713,0.0013706375019715278,0.033473693280471783,-0.011059496067526875,-0.010770830496259709,1
2020-11-06,136.28501553833328,138.56178068248397,138.21903826080654,138.38656814733073,7805897,136.9436191938508,141.5215464470914,141.83314174166665,0.12714352831163417,35.14090789059114,-4.0586979249816295,-4.117995823490976,0.05929789850934686,2.628794974282942,1.5243604846491396,0.014364970906152852,0.01995087843854404,-0.11686241779315287,-0.01752712365688358,0.0013706375019715278,0.033473693280471783,-0.005296131348560662,0
2020-11-09,137.71751031883724,136.81860257836863,134.14780946579882,135.44402619431145,5196883,136.80675961050716,140.74685170164398,141.25231305554345,0.11783757446119625,31.674844400365117,-4.045427238790495,-4.10348210655088,0.05805486776038471,2.784546548500732,1.018771498189655,-0.021263204893458787,0.009427210190599666,-0.1072329388257297,0.014364970906152852,-0.01752712365688358,0.0013706375019715278,-0.011059496067526875,1
